id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJtT-YD_PPBZERkA7LPG1zA6k,https://www.google.com/maps/place/?q=place_id:ChIJtT-YD_PPBZERkA7LPG1zA6k,POLLO BRAVO CHICKEN BAR,Restaurante especializado en pollo,"cdra de la Comiseria de Independencia, Av. Parado bellido 262 A, Independencia 15333",946 317 091,+51 946 317 091,facebook.com,https://www.facebook.com/pollobravorestaurante/,"-11.9955483,-77.0551979",4.4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ51NP-9XPBZERAG08NXjM6cc,https://www.google.com/maps/place/?q=place_id:ChIJ51NP-9XPBZERAG08NXjM6cc,POLLOS A LA BRASA EL GOLFO,Restaurante,"2WWX+RHR, Puno, Comas 15328",971 217 325,+51 971 217 325,facebook.com,https://www.facebook.com/polleriaselgolfo,"-11.952887599999999,-77.0511156",4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJBQ0jG2fFBZERz491r8pDLOI,https://www.google.com/maps/place/?q=place_id:ChIJBQ0jG2fFBZERz491r8pDLOI,El Pollón de Mangomarca,Restaurante especializado en pollo,"mangomarca, Jr. huanchuy con Jr, Condorhuasi",992 766 005,+51 992 766 005,facebook.com,https://www.facebook.com/elpollondemangomarca/about,"-12.0096235,-76.97791289999999",4.4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJHbKyVwDPBZERWY69DJDL55g,https://www.google.com/maps/place/?q=place_id:ChIJHbKyVwDPBZERWY69DJDL55g,FERNANDEZ Pollos & Chifa,Restaurante,"Av. las Almendras 436, San Martín de Porres 15311",921 891 419,+51 921 891 419,,,"-11.9862652,-77.063029",4.5,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo3UzYxLOBZER3pS1c0KJZvE,https://www.google.com/maps/place/?q=place_id:ChIJo3UzYxLOBZER3pS1c0KJZvE,"Pollería Chifa ""El Golfo""",Restaurante,"2WG5+JX8, Lima 15112",991 509 959,+51 991 509 959,,,"-11.9734692,-77.0900341",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJC0ghBPN9EpER1lH9xIkqEXg,https://www.google.com/maps/place/?q=place_id:ChIJC0ghBPN9EpER1lH9xIkqEXg,Las Tinajas,Restaurante peruano,"Portal Independencia 65, Ayacucho 05003",(066) 310128,+51 66 310128,,,"-13.1610412,-74.22604009999999",3.9,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ51NP-9XPBZERAG08NXjM6cc,https://www.google.com/maps/place/?q=place_id:ChIJ51NP-9XPBZERAG08NXjM6cc,POLLOS A LA BRASA EL GOLFO,Restaurante,"2WWX+RHR, Puno, Comas 15328",971 217 325,+51 971 217 325,facebook.com,https://www.facebook.com/polleriaselgolfo,"-11.952887599999999,-77.0511156",4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo3UzYxLOBZER3pS1c0KJZvE,https://www.google.com/maps/place/?q=place_id:ChIJo3UzYxLOBZER3pS1c0KJZvE,"Pollería Chifa ""El Golfo""",Restaurante,"2WG5+JX8, Lima 15112",991 509 959,+51 991 509 959,,,"-11.9734692,-77.0900341",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJC0ghBPN9EpER1lH9xIkqEXg,https://www.google.com/maps/place/?q=place_id:ChIJC0ghBPN9EpER1lH9xIkqEXg,Las Tinajas,Restaurante peruano,"Portal Independencia 65, Ayacucho 05003",(066) 310128,+51 66 310128,,,"-13.1610412,-74.22604009999999",3.9,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJtT-YD_PPBZERkA7LPG1zA6k,https://www.google.com/maps/place/?q=place_id:ChIJtT-YD_PPBZERkA7LPG1zA6k,POLLO BRAVO CHICKEN BAR,Restaurante especializado en pollo,"cdra de la Comiseria de Independencia, Av. Parado bellido 262 A, Independencia 15333",946 317 091,+51 946 317 091,facebook.com,https://www.facebook.com/pollobravorestaurante/,"-11.9955483,-77.0551979",4.4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ51NP-9XPBZERAG08NXjM6cc,https://www.google.com/maps/place/?q=place_id:ChIJ51NP-9XPBZERAG08NXjM6cc,POLLOS A LA BRASA EL GOLFO,Restaurante,"2WWX+RHR, Puno, Comas 15328",971 217 325,+51 971 217 325,facebook.com,https://www.facebook.com/polleriaselgolfo,"-11.952887599999999,-77.0511156",4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo3UzYxLOBZER3pS1c0KJZvE,https://www.google.com/maps/place/?q=place_id:ChIJo3UzYxLOBZER3pS1c0KJZvE,"Pollería Chifa ""El Golfo""",Restaurante,"2WG5+JX8, Lima 15112",991 509 959,+51 991 509 959,,,"-11.9734692,-77.0900341",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJC0ghBPN9EpER1lH9xIkqEXg,https://www.google.com/maps/place/?q=place_id:ChIJC0ghBPN9EpER1lH9xIkqEXg,Las Tinajas,Restaurante peruano,"Portal Independencia 65, Ayacucho 05003",(066) 310128,+51 66 310128,,,"-13.1610412,-74.22604009999999",3.9,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJtT-YD_PPBZERkA7LPG1zA6k,https://www.google.com/maps/place/?q=place_id:ChIJtT-YD_PPBZERkA7LPG1zA6k,POLLO BRAVO CHICKEN BAR,Restaurante especializado en pollo,"cdra de la Comiseria de Independencia, Av. Parado bellido 262 A, Independencia 15333",946 317 091,+51 946 317 091,facebook.com,https://www.facebook.com/pollobravorestaurante/,"-11.9955483,-77.0551979",4.4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ51NP-9XPBZERAG08NXjM6cc,https://www.google.com/maps/place/?q=place_id:ChIJ51NP-9XPBZERAG08NXjM6cc,POLLOS A LA BRASA EL GOLFO,Restaurante,"2WWX+RHR, Puno, Comas 15328",971 217 325,+51 971 217 325,facebook.com,https://www.facebook.com/polleriaselgolfo,"-11.952887599999999,-77.0511156",4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo3UzYxLOBZER3pS1c0KJZvE,https://www.google.com/maps/place/?q=place_id:ChIJo3UzYxLOBZER3pS1c0KJZvE,"Pollería Chifa ""El Golfo""",Restaurante,"2WG5+JX8, Lima 15112",991 509 959,+51 991 509 959,,,"-11.9734692,-77.0900341",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJC0ghBPN9EpER1lH9xIkqEXg,https://www.google.com/maps/place/?q=place_id:ChIJC0ghBPN9EpER1lH9xIkqEXg,Las Tinajas,Restaurante peruano,"Portal Independencia 65, Ayacucho 05003",(066) 310128,+51 66 310128,,,"-13.1610412,-74.22604009999999",3.9,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJtT-YD_PPBZERkA7LPG1zA6k,https://www.google.com/maps/place/?q=place_id:ChIJtT-YD_PPBZERkA7LPG1zA6k,POLLO BRAVO CHICKEN BAR,Restaurante especializado en pollo,"cdra de la Comiseria de Independencia, Av. Parado bellido 262 A, Independencia 15333",946 317 091,+51 946 317 091,facebook.com,https://www.facebook.com/pollobravorestaurante/,"-11.9955483,-77.0551979",4.4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ51NP-9XPBZERAG08NXjM6cc,https://www.google.com/maps/place/?q=place_id:ChIJ51NP-9XPBZERAG08NXjM6cc,POLLOS A LA BRASA EL GOLFO,Restaurante,"2WWX+RHR, Puno, Comas 15328",971 217 325,+51 971 217 325,facebook.com,https://www.facebook.com/polleriaselgolfo,"-11.952887599999999,-77.0511156",4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo3UzYxLOBZER3pS1c0KJZvE,https://www.google.com/maps/place/?q=place_id:ChIJo3UzYxLOBZER3pS1c0KJZvE,"Pollería Chifa ""El Golfo""",Restaurante,"2WG5+JX8, Lima 15112",991 509 959,+51 991 509 959,,,"-11.9734692,-77.0900341",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJC0ghBPN9EpER1lH9xIkqEXg,https://www.google.com/maps/place/?q=place_id:ChIJC0ghBPN9EpER1lH9xIkqEXg,Las Tinajas,Restaurante peruano,"Portal Independencia 65, Ayacucho 05003",(066) 310128,+51 66 310128,,,"-13.1610412,-74.22604009999999",3.9,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJtT-YD_PPBZERkA7LPG1zA6k,https://www.google.com/maps/place/?q=place_id:ChIJtT-YD_PPBZERkA7LPG1zA6k,POLLO BRAVO CHICKEN BAR,Restaurante especializado en pollo,"cdra de la Comiseria de Independencia, Av. Parado bellido 262 A, Independencia 15333",946 317 091,+51 946 317 091,facebook.com,https://www.facebook.com/pollobravorestaurante/,"-11.9955483,-77.0551979",4.4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJ51NP-9XPBZERAG08NXjM6cc,https://www.google.com/maps/place/?q=place_id:ChIJ51NP-9XPBZERAG08NXjM6cc,POLLOS A LA BRASA EL GOLFO,Restaurante,"2WWX+RHR, Puno, Comas 15328",971 217 325,+51 971 217 325,facebook.com,https://www.facebook.com/polleriaselgolfo,"-11.952887599999999,-77.0511156",4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJo3UzYxLOBZER3pS1c0KJZvE,https://www.google.com/maps/place/?q=place_id:ChIJo3UzYxLOBZER3pS1c0KJZvE,"Pollería Chifa ""El Golfo""",Restaurante,"2WG5+JX8, Lima 15112",991 509 959,+51 991 509 959,,,"-11.9734692,-77.0900341",3.6,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJC0ghBPN9EpER1lH9xIkqEXg,https://www.google.com/maps/place/?q=place_id:ChIJC0ghBPN9EpER1lH9xIkqEXg,Las Tinajas,Restaurante peruano,"Portal Independencia 65, Ayacucho 05003",(066) 310128,+51 66 310128,,,"-13.1610412,-74.22604009999999",3.9,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
ChIJtT-YD_PPBZERkA7LPG1zA6k,https://www.google.com/maps/place/?q=place_id:ChIJtT-YD_PPBZERkA7LPG1zA6k,POLLO BRAVO CHICKEN BAR,Restaurante especializado en pollo,"cdra de la Comiseria de Independencia, Av. Parado bellido 262 A, Independencia 15333",946 317 091,+51 946 317 091,facebook.com,https://www.facebook.com/pollobravorestaurante/,"-11.9955483,-77.0551979",4.4,,"Pollería en el distrito de Independencia, Vilcas Huamán, Ayacucho, Perú"
