id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJn7TSSU5ZQZERZzZI2KryZQQ,https://www.google.com/maps/place/?q=place_id:ChIJn7TSSU5ZQZERZzZI2KryZQQ,Mateo Chikens polleria,Restaurante especializado en pollo,"Av. Mariscal Castilla 259, Mollendo 04416",,,,,"-17.024154799999998,-72.0147334",4.9,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJwzVAGHD9Q5ERtp2BNiJuOEU,https://www.google.com/maps/place/?q=place_id:ChIJwzVAGHD9Q5ERtp2BNiJuOEU,GRANJA MOLLENDO RICO POLLO,Granja avícola,"W2PX+RCP, 04415",,,,,"-17.0629185,-71.9514142",,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
ChIJFROvVgD9Q5ERpQFL1QFV92g,https://www.google.com/maps/place/?q=place_id:ChIJFROvVgD9Q5ERpQFL1QFV92g,Mateo's Chicken,Tienda de aves de corral,"V4X4+7R, Ensenada 04420",925 204 544,+51 925 204 544,facebook.com,https://www.facebook.com/mateoschicken?mibextid=LQQJ4d,"-17.1021349,-71.9055283",3,,"Pollería en el distrito de Mejia, Islay, Arequipa, Perú"
