id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJTeiQj9R9EpER0_O8__AoMOM,https://www.google.com/maps/place/?q=place_id:ChIJTeiQj9R9EpER0_O8__AoMOM,POLLOS Y CHIFA KENKÓS,Restaurante de comida rápida,"RQPG+7H6, San Lorenzo, Ayacucho 05002",917 184 365,+51 917 184 365,,,"-13.164337,-74.2236199",3.4,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ8wV_9jiWDpERZLm_npKVB8g,https://www.google.com/maps/place/?q=place_id:ChIJ8wV_9jiWDpERZLm_npKVB8g,Pollos Parrillas Sazon Wanka,Restaurante,12004,,,,,"-12.058991299999999,-75.2159863",2.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJLybxYfR9EpERQamAHszYcfQ,https://www.google.com/maps/place/?q=place_id:ChIJLybxYfR9EpERQamAHszYcfQ,EBT Chicken | Pollos Broaster.,Restaurante de comida rápida,"Jr, Sol 380, Ayacucho",966 161 577,+51 966 161 577,facebook.com,http://www.facebook.com/EBTchicken,"-13.160212399999999,-74.2226756",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJTeiQj9R9EpER0_O8__AoMOM,https://www.google.com/maps/place/?q=place_id:ChIJTeiQj9R9EpER0_O8__AoMOM,POLLOS Y CHIFA KENKÓS,Restaurante de comida rápida,"RQPG+7H6, San Lorenzo, Ayacucho 05002",917 184 365,+51 917 184 365,,,"-13.164337,-74.2236199",3.4,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ8wV_9jiWDpERZLm_npKVB8g,https://www.google.com/maps/place/?q=place_id:ChIJ8wV_9jiWDpERZLm_npKVB8g,Pollos Parrillas Sazon Wanka,Restaurante,12004,,,,,"-12.058991299999999,-75.2159863",2.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJLybxYfR9EpERQamAHszYcfQ,https://www.google.com/maps/place/?q=place_id:ChIJLybxYfR9EpERQamAHszYcfQ,EBT Chicken | Pollos Broaster.,Restaurante de comida rápida,"Jr, Sol 380, Ayacucho",966 161 577,+51 966 161 577,facebook.com,http://www.facebook.com/EBTchicken,"-13.160212399999999,-74.2226756",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJTeiQj9R9EpER0_O8__AoMOM,https://www.google.com/maps/place/?q=place_id:ChIJTeiQj9R9EpER0_O8__AoMOM,POLLOS Y CHIFA KENKÓS,Restaurante de comida rápida,"RQPG+7H6, San Lorenzo, Ayacucho 05002",917 184 365,+51 917 184 365,,,"-13.164337,-74.2236199",3.4,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ8wV_9jiWDpERZLm_npKVB8g,https://www.google.com/maps/place/?q=place_id:ChIJ8wV_9jiWDpERZLm_npKVB8g,Pollos Parrillas Sazon Wanka,Restaurante,12004,,,,,"-12.058991299999999,-75.2159863",2.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJLybxYfR9EpERQamAHszYcfQ,https://www.google.com/maps/place/?q=place_id:ChIJLybxYfR9EpERQamAHszYcfQ,EBT Chicken | Pollos Broaster.,Restaurante de comida rápida,"Jr, Sol 380, Ayacucho",966 161 577,+51 966 161 577,facebook.com,http://www.facebook.com/EBTchicken,"-13.160212399999999,-74.2226756",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJZfcjCB99EpERMvPdkUhgKHk,https://www.google.com/maps/place/?q=place_id:ChIJZfcjCB99EpERMvPdkUhgKHk,POLLERIA D'ANTONIO,Restaurante,"entre pasaje Rasuwillka, Av. Nicaragua, Ayacucho 05002",973 812 444,+51 973 812 444,facebook.com,https://www.facebook.com/profile.php?id=100065318120322&mibextid=ZbWKwL,"-13.1808593,-74.2038894",5,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJTeiQj9R9EpER0_O8__AoMOM,https://www.google.com/maps/place/?q=place_id:ChIJTeiQj9R9EpER0_O8__AoMOM,POLLOS Y CHIFA KENKÓS,Restaurante de comida rápida,"RQPG+7H6, San Lorenzo, Ayacucho 05002",917 184 365,+51 917 184 365,,,"-13.164337,-74.2236199",3.4,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJD9DcWauHEpERfVIBSnLR79Q,https://www.google.com/maps/place/?q=place_id:ChIJD9DcWauHEpERfVIBSnLR79Q,Polleria,Restaurante,"Progreso 105, Ayacucho 05002",925 294 837,+51 925 294 837,,,"-13.166668099999999,-74.2131986",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ8wV_9jiWDpERZLm_npKVB8g,https://www.google.com/maps/place/?q=place_id:ChIJ8wV_9jiWDpERZLm_npKVB8g,Pollos Parrillas Sazon Wanka,Restaurante,12004,,,,,"-12.058991299999999,-75.2159863",2.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJLybxYfR9EpERQamAHszYcfQ,https://www.google.com/maps/place/?q=place_id:ChIJLybxYfR9EpERQamAHszYcfQ,EBT Chicken | Pollos Broaster.,Restaurante de comida rápida,"Jr, Sol 380, Ayacucho",966 161 577,+51 966 161 577,facebook.com,http://www.facebook.com/EBTchicken,"-13.160212399999999,-74.2226756",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJMY-vPAt9EpERRFZjSeW-HyY,https://www.google.com/maps/place/?q=place_id:ChIJMY-vPAt9EpERRFZjSeW-HyY,Retablo - pollos a la brasa,Restaurante,"Jr. Asamblea 219, Ayacucho 05003",(066) 528453,+51 66 528453,,,"-13.1585463,-74.2248128",3.8,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJo9mMCQB9EpERE0_KV7vl5l8,https://www.google.com/maps/place/?q=place_id:ChIJo9mMCQB9EpERE0_KV7vl5l8,El Dorado Pollería,Restaurante especializado en pollo,"Jr. Asamblea 310, Ayacucho 05001",,,,,"-13.1573727,-74.22439779999999",,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJK3WGH_N9EpERgEJPG0xdtRA,https://www.google.com/maps/place/?q=place_id:ChIJK3WGH_N9EpERgEJPG0xdtRA,Wambar. Pollos a la leña,Restaurante,"RQQF+69V, Ayacucho 05003",966 999 334,+51 966 999 334,,,"-13.1618905,-74.22659329999999",4.1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJcbHSAACHEpERrrxOfEXzo50,https://www.google.com/maps/place/?q=place_id:ChIJcbHSAACHEpERrrxOfEXzo50,Polleria Loayza,Restaurante,"Av. Ramon Castilla 756, Ayacucho 05001",,,,,"-13.165394099999999,-74.2163764",1,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJ2cIkd26HEpEREvWozQjdbwE,https://www.google.com/maps/place/?q=place_id:ChIJ2cIkd26HEpEREvWozQjdbwE,Pollería El Dorado,Restaurante,"Av del Ejercito 185, Ayacucho 05001",966 131 326,+51 966 131 326,facebook.com,https://www.facebook.com/Polleria-El-Dorado-Ayacucho-Per%C3%BA-772924716419375/,"-13.1636603,-74.2162434",3.6,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
ChIJdTVCASB9EpER4-I6jyJYnfo,https://www.google.com/maps/place/?q=place_id:ChIJdTVCASB9EpER4-I6jyJYnfo,Retablo pollos a la brasa,Restaurante especializado en pollo,Ayacucho 05002,989 074 810,+51 989 074 810,polleriaretablo.pe,https://www.polleriaretablo.pe/,"-13.164233399999999,-74.223535",2,,"Pollería en el distrito de Sacsamarca, Huanca Sancos, Ayacucho, Perú"
