id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWYhBMqa9BZERnYnNjORFBNg,https://www.google.com/maps/place/?q=place_id:ChIJWYhBMqa9BZERnYnNjORFBNg,Pollería Mister Chicken Grill - Las Palmas,Restaurante especializado en pollo,"Pasaje Las Flores 111, Pachacamac 15822",991 112 662,+51 991 112 662,,,"-12.2280178,-76.89274619999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJWTdenMHRBZERYuuUGyJhkpQ,https://www.google.com/maps/place/?q=place_id:ChIJWTdenMHRBZERYuuUGyJhkpQ,Polleria Mister's Chicken pro,Restaurante,"Bbb5, La Reflexión, Los Olivos 15307",(01) 5526646,+51 1 5526646,facebook.com,https://www.facebook.com/polleria.misterschiken,"-11.9357736,-77.0770046",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJTyJNWGjPBZERBz_CWFj266U,https://www.google.com/maps/place/?q=place_id:ChIJTyJNWGjPBZERBz_CWFj266U,Pollería La Colonia Cajamarquina,Restaurante especializado en pollo,"Mz4 Lt3, Av. 24 de Junio, Rímac",,,linktr.ee,https://linktr.ee/lacoloniacajamarquina?utm_source=linktree_profile_share&ltsid=4d3f2bde-2ae6-45e1-9710-1b2215be36cc,"-12.015111,-77.02685699999999",5,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJ6yUjl__PBZERqw0KAGoJTAg,https://www.google.com/maps/place/?q=place_id:ChIJ6yUjl__PBZERqw0KAGoJTAg,Polleria chimbalito,Tienda de aves de corral,"Eduardo Dibos MZ D LT 7, Rímac 15093",927 500 752,+51 927 500 752,,,"-12.0177286,-77.0280878",,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJQeYUtsRFrpEROPUN3hNW2A4,https://www.google.com/maps/place/?q=place_id:ChIJQeYUtsRFrpEROPUN3hNW2A4,Pollería MARKY'S Llacuabamba,Pollería,"13505, Parcoy 13505",952 710 354,+51 952 710 354,sites.google.com,https://sites.google.com/d/1aSMf2uUJD3lVXL76hJNX29b_hmTgWljU/edit,"-8.0339109,-77.4557198",4.4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJK6Y0nbTPBZER_qkWeQ_bbOg,https://www.google.com/maps/place/?q=place_id:ChIJK6Y0nbTPBZER_qkWeQ_bbOg,Brasas del centro .pollería restaurante,Restaurante,"Av. Central, Los Olivos 15306",952 120 251,+51 952 120 251,,,"-11.9596213,-77.0742583",3.3,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
ChIJGYAJ1c3RBZERutPpjkw9TZk,https://www.google.com/maps/place/?q=place_id:ChIJGYAJ1c3RBZERutPpjkw9TZk,"Polleria Restaurante ""BRASAS DEL CENTRO""",Pollería,"Lima 22, Puente Piedra 15116",939 606 743,+51 939 606 743,brasasdelcentro.ola.click,https://brasasdelcentro.ola.click/,"-11.935035899999999,-77.0842648",4,,"Pollería en el distrito de Colcabamba, Aymaraes, Apurímac, Perú"
