id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJmRMfcBznaZEReJK4FET6C1E,https://www.google.com/maps/place/?q=place_id:ChIJmRMfcBznaZEReJK4FET6C1E,Brosteria el Rico Pollo,Restaurante,"Sucre 304, Chivay",983 106 820,+51 983 106 820,,,"-15.637930599999999,-71.60144129999999",4.2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp3gV_bHnaZERjoTdKe9awvw,https://www.google.com/maps/place/?q=place_id:ChIJp3gV_bHnaZERjoTdKe9awvw,Pollería restaurante,Restaurante,"Av. Salaverry 506, Chivay 04145",958 308 072,+51 958 308 072,,,"-15.6363753,-71.6018414",2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJ5eVDEADnaZERO3BGZ57p_Qs,https://www.google.com/maps/place/?q=place_id:ChIJ5eVDEADnaZERO3BGZ57p_Qs,"Pollería, parrillas CABER",Restaurante,"997X+G59, Pl. de Armas, Chivay 04145",,,,,"-15.6362022,-71.60201049999999",3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJKZ1E8szhaZER1yWY45cjZhc,https://www.google.com/maps/place/?q=place_id:ChIJKZ1E8szhaZER1yWY45cjZhc,Cocafe Yanque Colca,Restaurante,"C. San Antonio 103, Yanque 04140",958 525 454,+51 958 525 454,,,"-15.650307999999999,-71.6582073",4.8,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJI_fqqF3naZEREEj4RAyR4vc,https://www.google.com/maps/place/?q=place_id:ChIJI_fqqF3naZEREEj4RAyR4vc,Rico Pollo TIENDA CHIVAY,Tienda general,"Arequipa 131, Chivay 04000",,,ricopollo.pe,http://www.ricopollo.pe/,"-15.635520399999999,-71.6021082",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJD5MiDT1JQpER-700spQ_hLs,https://www.google.com/maps/place/?q=place_id:ChIJD5MiDT1JQpER-700spQ_hLs,Pollería Don Pio,Restaurante,"Av. Amazonas 104, Cayma 04018",,,,,"-16.3448667,-71.5397668",,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJUwX2vENLQpERfzq1F1msW_U,https://www.google.com/maps/place/?q=place_id:ChIJUwX2vENLQpERfzq1F1msW_U,Polleria Rico,Restaurante,"HGF4+5PM, Alto De La Alianza, Arequipa 04008",,,,,"-16.4270467,-71.4932092",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJXwdzBTTnaZERFHrPPAv-Ym8,https://www.google.com/maps/place/?q=place_id:ChIJXwdzBTTnaZERFHrPPAv-Ym8,Polleria Tiznao,Restaurante,"Jorge Chavez 510, Chivay",958 266 814,+51 958 266 814,,,"-15.637357399999999,-71.60150159999999",4.6,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJBfsDkETnaZERFmo1ZkqGXFo,https://www.google.com/maps/place/?q=place_id:ChIJBfsDkETnaZERFmo1ZkqGXFo,PATIO PERÚ food center POLLERIA-PARRILAS,Restaurante,"04146, Chivay 04146",957 033 285,+51 957 033 285,,,"-15.6364191,-71.6018267",2.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJtaa6gfnhaZERSo83BD1JT6k,https://www.google.com/maps/place/?q=place_id:ChIJtaa6gfnhaZERSo83BD1JT6k,Sabores Andinos Colca Restaurant,Restaurante,"Plaza principal, Yanque 04140",999 174 449,+51 999 174 449,,,"-15.6491046,-71.65880059999999",4.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJYzAsD7rhaZERjzHojKVa4H4,https://www.google.com/maps/place/?q=place_id:ChIJYzAsD7rhaZERjzHojKVa4H4,d'colca,Restaurante peruano,"Calle San Antonio S/N MZ. LL2, LT. 3, Yanque 04140",938 779 585,+51 938 779 585,,,"-15.650136,-71.6582164",5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJNT-aIrHhaZERXM8IUyRVSwc,https://www.google.com/maps/place/?q=place_id:ChIJNT-aIrHhaZERXM8IUyRVSwc,Restaurant Alpaca Chef,Restaurante peruano,"Avenida Colca 171, Yanque 04140",958 814 893,+51 958 814 893,,,"-15.653156899999999,-71.6558079",4.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJRykiszbnaZERiD5Ykbx2KCM,https://www.google.com/maps/place/?q=place_id:ChIJRykiszbnaZERiD5Ykbx2KCM,colca food,Restaurante,"Av. Salaverry 115, Chivay 04145",913 038 430,+51 913 038 430,,,"-15.635868599999998,-71.6018821",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJa6324atLQpERaY-e3sceOvw,https://www.google.com/maps/place/?q=place_id:ChIJa6324atLQpERaY-e3sceOvw,Don Pechuga - Pollería,Restaurante,"Al Frente de Promart Homecenter, Urbanizacion San Pedro C-4, Yanahuara 04014",943 715 845,+51 943 715 845,,,"-16.392912,-71.5572933",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJmRMfcBznaZEReJK4FET6C1E,https://www.google.com/maps/place/?q=place_id:ChIJmRMfcBznaZEReJK4FET6C1E,Brosteria el Rico Pollo,Restaurante,"Sucre 304, Chivay",983 106 820,+51 983 106 820,,,"-15.637930599999999,-71.60144129999999",4.2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp3gV_bHnaZERjoTdKe9awvw,https://www.google.com/maps/place/?q=place_id:ChIJp3gV_bHnaZERjoTdKe9awvw,Pollería restaurante,Restaurante,"Av. Salaverry 506, Chivay 04145",958 308 072,+51 958 308 072,,,"-15.6363753,-71.6018414",2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJ5eVDEADnaZERO3BGZ57p_Qs,https://www.google.com/maps/place/?q=place_id:ChIJ5eVDEADnaZERO3BGZ57p_Qs,"Pollería, parrillas CABER",Restaurante,"997X+G59, Pl. de Armas, Chivay 04145",,,,,"-15.6362022,-71.60201049999999",3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJKZ1E8szhaZER1yWY45cjZhc,https://www.google.com/maps/place/?q=place_id:ChIJKZ1E8szhaZER1yWY45cjZhc,Cocafe Yanque Colca,Restaurante,"C. San Antonio 103, Yanque 04140",958 525 454,+51 958 525 454,,,"-15.650307999999999,-71.6582073",4.8,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJI_fqqF3naZEREEj4RAyR4vc,https://www.google.com/maps/place/?q=place_id:ChIJI_fqqF3naZEREEj4RAyR4vc,Rico Pollo TIENDA CHIVAY,Tienda general,"Arequipa 131, Chivay 04000",,,ricopollo.pe,http://www.ricopollo.pe/,"-15.635520399999999,-71.6021082",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJD5MiDT1JQpER-700spQ_hLs,https://www.google.com/maps/place/?q=place_id:ChIJD5MiDT1JQpER-700spQ_hLs,Pollería Don Pio,Restaurante,"Av. Amazonas 104, Cayma 04018",,,,,"-16.3448667,-71.5397668",,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJUwX2vENLQpERfzq1F1msW_U,https://www.google.com/maps/place/?q=place_id:ChIJUwX2vENLQpERfzq1F1msW_U,Polleria Rico,Restaurante,"HGF4+5PM, Alto De La Alianza, Arequipa 04008",,,,,"-16.4270467,-71.4932092",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJXwdzBTTnaZERFHrPPAv-Ym8,https://www.google.com/maps/place/?q=place_id:ChIJXwdzBTTnaZERFHrPPAv-Ym8,Polleria Tiznao,Restaurante,"Jorge Chavez 510, Chivay",958 266 814,+51 958 266 814,,,"-15.637357399999999,-71.60150159999999",4.6,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJBfsDkETnaZERFmo1ZkqGXFo,https://www.google.com/maps/place/?q=place_id:ChIJBfsDkETnaZERFmo1ZkqGXFo,PATIO PERÚ food center POLLERIA-PARRILAS,Restaurante,"04146, Chivay 04146",957 033 285,+51 957 033 285,,,"-15.6364191,-71.6018267",2.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJtaa6gfnhaZERSo83BD1JT6k,https://www.google.com/maps/place/?q=place_id:ChIJtaa6gfnhaZERSo83BD1JT6k,Sabores Andinos Colca Restaurant,Restaurante,"Plaza principal, Yanque 04140",999 174 449,+51 999 174 449,,,"-15.6491046,-71.65880059999999",4.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJYzAsD7rhaZERjzHojKVa4H4,https://www.google.com/maps/place/?q=place_id:ChIJYzAsD7rhaZERjzHojKVa4H4,d'colca,Restaurante peruano,"Calle San Antonio S/N MZ. LL2, LT. 3, Yanque 04140",938 779 585,+51 938 779 585,,,"-15.650136,-71.6582164",5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJNT-aIrHhaZERXM8IUyRVSwc,https://www.google.com/maps/place/?q=place_id:ChIJNT-aIrHhaZERXM8IUyRVSwc,Restaurant Alpaca Chef,Restaurante peruano,"Avenida Colca 171, Yanque 04140",958 814 893,+51 958 814 893,,,"-15.653156899999999,-71.6558079",4.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJRykiszbnaZERiD5Ykbx2KCM,https://www.google.com/maps/place/?q=place_id:ChIJRykiszbnaZERiD5Ykbx2KCM,colca food,Restaurante,"Av. Salaverry 115, Chivay 04145",913 038 430,+51 913 038 430,,,"-15.635868599999998,-71.6018821",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJa6324atLQpERaY-e3sceOvw,https://www.google.com/maps/place/?q=place_id:ChIJa6324atLQpERaY-e3sceOvw,Don Pechuga - Pollería,Restaurante,"Al Frente de Promart Homecenter, Urbanizacion San Pedro C-4, Yanahuara 04014",943 715 845,+51 943 715 845,,,"-16.392912,-71.5572933",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJmRMfcBznaZEReJK4FET6C1E,https://www.google.com/maps/place/?q=place_id:ChIJmRMfcBznaZEReJK4FET6C1E,Brosteria el Rico Pollo,Restaurante,"Sucre 304, Chivay",983 106 820,+51 983 106 820,,,"-15.637930599999999,-71.60144129999999",4.2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp3gV_bHnaZERjoTdKe9awvw,https://www.google.com/maps/place/?q=place_id:ChIJp3gV_bHnaZERjoTdKe9awvw,Pollería restaurante,Restaurante,"Av. Salaverry 506, Chivay 04145",958 308 072,+51 958 308 072,,,"-15.6363753,-71.6018414",2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJ5eVDEADnaZERO3BGZ57p_Qs,https://www.google.com/maps/place/?q=place_id:ChIJ5eVDEADnaZERO3BGZ57p_Qs,"Pollería, parrillas CABER",Restaurante,"997X+G59, Pl. de Armas, Chivay 04145",,,,,"-15.6362022,-71.60201049999999",3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJKZ1E8szhaZER1yWY45cjZhc,https://www.google.com/maps/place/?q=place_id:ChIJKZ1E8szhaZER1yWY45cjZhc,Cocafe Yanque Colca,Restaurante,"C. San Antonio 103, Yanque 04140",958 525 454,+51 958 525 454,,,"-15.650307999999999,-71.6582073",4.8,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJI_fqqF3naZEREEj4RAyR4vc,https://www.google.com/maps/place/?q=place_id:ChIJI_fqqF3naZEREEj4RAyR4vc,Rico Pollo TIENDA CHIVAY,Tienda general,"Arequipa 131, Chivay 04000",,,ricopollo.pe,http://www.ricopollo.pe/,"-15.635520399999999,-71.6021082",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJD5MiDT1JQpER-700spQ_hLs,https://www.google.com/maps/place/?q=place_id:ChIJD5MiDT1JQpER-700spQ_hLs,Pollería Don Pio,Restaurante,"Av. Amazonas 104, Cayma 04018",,,,,"-16.3448667,-71.5397668",,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJUwX2vENLQpERfzq1F1msW_U,https://www.google.com/maps/place/?q=place_id:ChIJUwX2vENLQpERfzq1F1msW_U,Polleria Rico,Restaurante,"HGF4+5PM, Alto De La Alianza, Arequipa 04008",,,,,"-16.4270467,-71.4932092",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJXwdzBTTnaZERFHrPPAv-Ym8,https://www.google.com/maps/place/?q=place_id:ChIJXwdzBTTnaZERFHrPPAv-Ym8,Polleria Tiznao,Restaurante,"Jorge Chavez 510, Chivay",958 266 814,+51 958 266 814,,,"-15.637357399999999,-71.60150159999999",4.6,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJBfsDkETnaZERFmo1ZkqGXFo,https://www.google.com/maps/place/?q=place_id:ChIJBfsDkETnaZERFmo1ZkqGXFo,PATIO PERÚ food center POLLERIA-PARRILAS,Restaurante,"04146, Chivay 04146",957 033 285,+51 957 033 285,,,"-15.6364191,-71.6018267",2.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJtaa6gfnhaZERSo83BD1JT6k,https://www.google.com/maps/place/?q=place_id:ChIJtaa6gfnhaZERSo83BD1JT6k,Sabores Andinos Colca Restaurant,Restaurante,"Plaza principal, Yanque 04140",999 174 449,+51 999 174 449,,,"-15.6491046,-71.65880059999999",4.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJYzAsD7rhaZERjzHojKVa4H4,https://www.google.com/maps/place/?q=place_id:ChIJYzAsD7rhaZERjzHojKVa4H4,d'colca,Restaurante peruano,"Calle San Antonio S/N MZ. LL2, LT. 3, Yanque 04140",938 779 585,+51 938 779 585,,,"-15.650136,-71.6582164",5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJNT-aIrHhaZERXM8IUyRVSwc,https://www.google.com/maps/place/?q=place_id:ChIJNT-aIrHhaZERXM8IUyRVSwc,Restaurant Alpaca Chef,Restaurante peruano,"Avenida Colca 171, Yanque 04140",958 814 893,+51 958 814 893,,,"-15.653156899999999,-71.6558079",4.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJRykiszbnaZERiD5Ykbx2KCM,https://www.google.com/maps/place/?q=place_id:ChIJRykiszbnaZERiD5Ykbx2KCM,colca food,Restaurante,"Av. Salaverry 115, Chivay 04145",913 038 430,+51 913 038 430,,,"-15.635868599999998,-71.6018821",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJa6324atLQpERaY-e3sceOvw,https://www.google.com/maps/place/?q=place_id:ChIJa6324atLQpERaY-e3sceOvw,Don Pechuga - Pollería,Restaurante,"Al Frente de Promart Homecenter, Urbanizacion San Pedro C-4, Yanahuara 04014",943 715 845,+51 943 715 845,,,"-16.392912,-71.5572933",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJmRMfcBznaZEReJK4FET6C1E,https://www.google.com/maps/place/?q=place_id:ChIJmRMfcBznaZEReJK4FET6C1E,Brosteria el Rico Pollo,Restaurante,"Sucre 304, Chivay",983 106 820,+51 983 106 820,,,"-15.637930599999999,-71.60144129999999",4.2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp3gV_bHnaZERjoTdKe9awvw,https://www.google.com/maps/place/?q=place_id:ChIJp3gV_bHnaZERjoTdKe9awvw,Pollería restaurante,Restaurante,"Av. Salaverry 506, Chivay 04145",958 308 072,+51 958 308 072,,,"-15.6363753,-71.6018414",2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJ5eVDEADnaZERO3BGZ57p_Qs,https://www.google.com/maps/place/?q=place_id:ChIJ5eVDEADnaZERO3BGZ57p_Qs,"Pollería, parrillas CABER",Restaurante,"997X+G59, Pl. de Armas, Chivay 04145",,,,,"-15.6362022,-71.60201049999999",3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJKZ1E8szhaZER1yWY45cjZhc,https://www.google.com/maps/place/?q=place_id:ChIJKZ1E8szhaZER1yWY45cjZhc,Cocafe Yanque Colca,Restaurante,"C. San Antonio 103, Yanque 04140",958 525 454,+51 958 525 454,,,"-15.650307999999999,-71.6582073",4.8,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJI_fqqF3naZEREEj4RAyR4vc,https://www.google.com/maps/place/?q=place_id:ChIJI_fqqF3naZEREEj4RAyR4vc,Rico Pollo TIENDA CHIVAY,Tienda general,"Arequipa 131, Chivay 04000",,,ricopollo.pe,http://www.ricopollo.pe/,"-15.635520399999999,-71.6021082",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJD5MiDT1JQpER-700spQ_hLs,https://www.google.com/maps/place/?q=place_id:ChIJD5MiDT1JQpER-700spQ_hLs,Pollería Don Pio,Restaurante,"Av. Amazonas 104, Cayma 04018",,,,,"-16.3448667,-71.5397668",,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJUwX2vENLQpERfzq1F1msW_U,https://www.google.com/maps/place/?q=place_id:ChIJUwX2vENLQpERfzq1F1msW_U,Polleria Rico,Restaurante,"HGF4+5PM, Alto De La Alianza, Arequipa 04008",,,,,"-16.4270467,-71.4932092",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJXwdzBTTnaZERFHrPPAv-Ym8,https://www.google.com/maps/place/?q=place_id:ChIJXwdzBTTnaZERFHrPPAv-Ym8,Polleria Tiznao,Restaurante,"Jorge Chavez 510, Chivay",958 266 814,+51 958 266 814,,,"-15.637357399999999,-71.60150159999999",4.6,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJYzAsD7rhaZERjzHojKVa4H4,https://www.google.com/maps/place/?q=place_id:ChIJYzAsD7rhaZERjzHojKVa4H4,d'colca,Restaurante peruano,"Calle San Antonio S/N MZ. LL2, LT. 3, Yanque 04140",938 779 585,+51 938 779 585,,,"-15.650136,-71.6582164",5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJtaa6gfnhaZERSo83BD1JT6k,https://www.google.com/maps/place/?q=place_id:ChIJtaa6gfnhaZERSo83BD1JT6k,Sabores Andinos Colca Restaurant,Restaurante,"Plaza principal, Yanque 04140",999 174 449,+51 999 174 449,,,"-15.6491046,-71.65880059999999",4.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJBfsDkETnaZERFmo1ZkqGXFo,https://www.google.com/maps/place/?q=place_id:ChIJBfsDkETnaZERFmo1ZkqGXFo,PATIO PERÚ food center POLLERIA-PARRILAS,Restaurante,"04146, Chivay 04146",957 033 285,+51 957 033 285,,,"-15.6364191,-71.6018267",2.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp41e_VZKQpERrgfhBxEU21Q,https://www.google.com/maps/place/?q=place_id:ChIJp41e_VZKQpERrgfhBxEU21Q,Pollos a la Brasa el Pio Pio,Restaurante especializado en pollo,"C. Santo Domingo 210, Arequipa 04001",(054) 282930,+51 54 282930,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/pollo-a-la-brasa-el-pio-pio/arequipa-80627394,"-16.400613,-71.5338283",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJc809La1LQpERCSomh8CLGWw,https://www.google.com/maps/place/?q=place_id:ChIJc809La1LQpERCSomh8CLGWw,Pollería El Marqués,Restaurante,"Ca. Ballon Farfan 119, Yanahuara 04001",(054) 545998,+51 54 545998,,,"-16.4012796,-71.5471311",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJmRMfcBznaZEReJK4FET6C1E,https://www.google.com/maps/place/?q=place_id:ChIJmRMfcBznaZEReJK4FET6C1E,Brosteria el Rico Pollo,Restaurante,"Sucre 304, Chivay",983 106 820,+51 983 106 820,,,"-15.637930599999999,-71.60144129999999",4.2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJa6324atLQpERaY-e3sceOvw,https://www.google.com/maps/place/?q=place_id:ChIJa6324atLQpERaY-e3sceOvw,Don Pechuga - Pollería,Restaurante,"Al Frente de Promart Homecenter, Urbanizacion San Pedro C-4, Yanahuara 04014",943 715 845,+51 943 715 845,,,"-16.392912,-71.5572933",3.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJKZ1E8szhaZER1yWY45cjZhc,https://www.google.com/maps/place/?q=place_id:ChIJKZ1E8szhaZER1yWY45cjZhc,Cocafe Yanque Colca,Restaurante,"C. San Antonio 103, Yanque 04140",958 525 454,+51 958 525 454,,,"-15.650307999999999,-71.6582073",4.8,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJD5MiDT1JQpER-700spQ_hLs,https://www.google.com/maps/place/?q=place_id:ChIJD5MiDT1JQpER-700spQ_hLs,Pollería Don Pio,Restaurante,"Av. Amazonas 104, Cayma 04018",,,,,"-16.3448667,-71.5397668",,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJNT-aIrHhaZERXM8IUyRVSwc,https://www.google.com/maps/place/?q=place_id:ChIJNT-aIrHhaZERXM8IUyRVSwc,Restaurant Alpaca Chef,Restaurante peruano,"Avenida Colca 171, Yanque 04140",958 814 893,+51 958 814 893,,,"-15.653156899999999,-71.6558079",4.3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJRykiszbnaZERiD5Ykbx2KCM,https://www.google.com/maps/place/?q=place_id:ChIJRykiszbnaZERiD5Ykbx2KCM,colca food,Restaurante,"Av. Salaverry 115, Chivay 04145",913 038 430,+51 913 038 430,,,"-15.635868599999998,-71.6018821",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJp3gV_bHnaZERjoTdKe9awvw,https://www.google.com/maps/place/?q=place_id:ChIJp3gV_bHnaZERjoTdKe9awvw,Pollería restaurante,Restaurante,"Av. Salaverry 506, Chivay 04145",958 308 072,+51 958 308 072,,,"-15.6363753,-71.6018414",2,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJ5eVDEADnaZERO3BGZ57p_Qs,https://www.google.com/maps/place/?q=place_id:ChIJ5eVDEADnaZERO3BGZ57p_Qs,"Pollería, parrillas CABER",Restaurante,"997X+G59, Pl. de Armas, Chivay 04145",,,,,"-15.6362022,-71.60201049999999",3,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJUwX2vENLQpERfzq1F1msW_U,https://www.google.com/maps/place/?q=place_id:ChIJUwX2vENLQpERfzq1F1msW_U,Polleria Rico,Restaurante,"HGF4+5PM, Alto De La Alianza, Arequipa 04008",,,,,"-16.4270467,-71.4932092",3.5,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
ChIJMV37nVpJQpERQwBh7P6_FkY,https://www.google.com/maps/place/?q=place_id:ChIJMV37nVpJQpERQwBh7P6_FkY,El club del Pollo,Restaurante,"JFV4+6H9 Losa Deportiva La Tomilla, Av. Ramón Castilla, Cayma 04018",983 704 455,+51 983 704 455,m.facebook.com,https://m.facebook.com/ElclubdelPolloAQP/,"-16.356963099999998,-71.54353069999999",3.9,,"Pollería en el distrito de Yanque, Caylloma, Arequipa, Perú"
