id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJS9OyoDrGBZERECyAjtnDuCk,https://www.google.com/maps/place/?q=place_id:ChIJS9OyoDrGBZERECyAjtnDuCk,Chifa Wan,Restaurante,"Avenida Agustín de la Rosa Toro 350, San Luis 15021",989 855 888,+51 989 855 888,,,"-12.0726294,-76.99780799999999",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJj4SzcADJBZER7fHgM_gtjjw,https://www.google.com/maps/place/?q=place_id:ChIJj4SzcADJBZER7fHgM_gtjjw,Chifa Hong Yi,Restaurante chino,"Jirón Caracas 2456, Jesús María 15072",955 316 256,+51 955 316 256,,,"-12.086307,-77.05753039999999",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJHbbhMF7IBZERLteyEQ82HZI,https://www.google.com/maps/place/?q=place_id:ChIJHbbhMF7IBZERLteyEQ82HZI,Chifa El Dorado,Restaurante,"Av. Arequipa 2450, Lince 15046",997 456 026,+51 997 456 026,facebook.com,https://www.facebook.com/CartaChifaDorado,"-12.0889549,-77.0343625",4,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJhVbrmlvPBZERSJs--iniovM,https://www.google.com/maps/place/?q=place_id:ChIJhVbrmlvPBZERSJs--iniovM,Chifa Chong-Wa,Restaurante,"Jirón Condesuyos 511, Lima 15001",908 729 121,+51 908 729 121,tiktok.com,https://www.tiktok.com/@chong_wa?_t=8lCXZLzwSnO&_r=1,"-12.0384516,-77.0508905",4.3,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJg9HdbaTJBZERxfkj1S1k8oU,https://www.google.com/maps/place/?q=place_id:ChIJg9HdbaTJBZERxfkj1S1k8oU,Chifa Long Wa - Sede Lince,Restaurante chino,"Av. Arequipa 1911, Lince 15046",977 673 460,+51 977 673 460,chifalongwa.com,http://www.chifalongwa.com/,"-12.0837033,-77.0343865",3.7,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Andaray, Condesuyos, Arequipa, Perú"
